,f0,w0,beta,error
0,6.609434082784803,4.2125251322310655,1.0498039437174858,0.004531566361794781
1,6.621298484766619,4.302524622949919,0.9818918533168026,0.001269309279045453
2,6.628140760495749,4.347571093946941,0.9453500396500449,0.0002972590683765389
3,6.631731692498147,4.367629685961749,0.9291091676390953,8.744936636955355e-05
4,6.633794776449162,4.376089358553382,0.9223903263899422,4.6773171736191444e-05
5,6.6352010393641025,4.379604381245741,0.9197323905854432,3.860680398181156e-05
6,6.6363322234643025,4.381087171751458,0.9187417927564365,3.664214848125329e-05
7,6.637346830455656,4.381746906060224,0.9184250726409279,3.598010122523033e-05
8,6.638309303802955,4.382074965783541,0.9183786317526538,3.564438745772955e-05
9,6.639245653472828,4.382269332233942,0.9184398911806091,3.5408619767421585e-05
10,6.640166372329157,4.382409505785707,0.9185435823221926,3.520931826448006e-05
11,6.641075717644506,4.3825273714595125,0.9186635406106096,3.502559401185229e-05
12,6.641975445214208,4.382635714507507,0.9187892865364691,3.484985014115909e-05
13,6.642866307730012,4.382739664188784,0.9189166276399396,3.4679164780130355e-05
14,6.6437486554271,4.382841281632181,0.919043890863973,3.451236768654096e-05
15,6.644622676779767,4.382941398451606,0.919170412651934,3.4348964589984165e-05
16,6.645488494948251,4.38304035350406,0.9192959339097716,3.418872575523694e-05
17,6.6463462064284355,4.383138288118194,0.9194203575599664,3.403152591850848e-05
18,6.6471958965441855,4.383235264401186,0.9195436513871129,3.387728156769136e-05
19,6.648037645660895,4.383331312650921,0.919665809103938,3.372592628720111e-05
20,6.648871531681007,4.383426450358291,0.9197868347482088,3.3577401046903966e-05
21,6.649697631049576,4.38352068982394,0.9199067364297709,3.343165036761175e-05
22,6.650516019162667,4.3836140412119375,0.9200255238249558,3.3288620798972284e-05
23,6.6513267705363255,4.383706513774545,0.9201432071729263,3.3148260307634194e-05
24,6.652129958879546,4.38379811634381,0.9202597968740593,3.3010518023936786e-05
25,6.652925657128617,4.3838888575293256,0.9203753033296492,3.2875344129934285e-05
26,6.65371393746606,4.383978745798128,0.9204897368783649,3.2742689803303486e-05
27,6.654494871333195,4.384067789507421,0.9206031077714381,3.2612507183473956e-05
28,6.655268529440134,4.384155996918213,0.9207154261634697,3.2484749346810564e-05
29,6.656034981774664,4.384243376201512,0.9208267021093433,3.235937028551897e-05
